file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BAC009S0022W0453,0.0,6.5749375,S0022,-47.9859357163242,-47.19923455374582,17.95887887730519,2.632291000579748
BAC009S0160W0148,0.0,7.917,S0160,-50.89946831597222,-52.467664173671174,17.93922499263478,6.978588493720871
BAC009S0090W0195,0.0,5.2260625,S0090,-45.57061125717017,-47.90865619365986,17.771003332858303,5.697848667699123
BAC009S0158W0157,0.0,6.553,S0158,-47.06645097805343,-47.020426432291664,17.74332417301621,7.801131205528112
BAC009S0334W0141,0.0,6.35,S0334,-55.022022637795274,-56.30987616146312,17.704154812969293,5.053231732540462
BAC009S0137W0420,0.0,5.4189375,S0137,-45.568539552583026,-47.261721769968666,17.464825965172967,10.24531972182194
BAC009S0915W0316,0.0,6.2580625,S0915,-45.32577563398562,-44.4489790020567,17.461549808777495,11.558465720208702
BAC009S0080W0223,0.0,4.568,S0080,-44.80691414797593,-47.06289568814364,17.229147466056837,6.4667973640138925
BAC009S0125W0208,0.0,5.103,S0125,-53.69135646446078,-54.14267487959428,17.15063494696838,9.612677857312669
BAC009S0125W0159,0.0,3.9749375,S0125,-53.179426755352644,-51.282092253367104,17.057754549356922,8.10762352316625
BAC009S0249W0326,0.0,3.7988125,S0249,-45.84223889802632,-46.35240886522376,16.93419610267239,10.875434570435848
BAC009S0096W0314,0.0,6.098125,S0096,-45.683590548155735,-47.95745123586347,16.906911400632936,7.760756225749105
BAC009S0238W0223,0.0,3.8360625,S0238,-50.57426961263021,-50.46223125457764,16.877572665608824,5.703551923865561
BAC009S0247W0121,0.0,6.106,S0247,-47.21030457242226,-46.82085990905762,16.673278790215374,5.550113040681087
BAC009S0076W0297,0.0,6.03225,S0076,-48.85397232587065,-48.202548072451634,16.66674315024771,6.884061827479044
BAC009S0744W0415,0.0,5.0761875,S0744,-49.42663862573819,-51.319779532296316,16.586238539300336,8.332947898258599
BAC009S0248W0374,0.0,8.870125,S0248,-44.94206683342728,-53.16316880850956,16.54630116196121,9.770969975512624
BAC009S0139W0435,0.0,5.042,S0139,-49.29498000372024,-49.24096534992086,16.546286562272698,10.019074646986436
BAC009S0176W0298,0.0,5.4669375,S0176,-49.16653336380256,-52.7596681382921,16.543583971818677,3.8544124454451705
BAC009S0724W0319,0.0,3.8969375,S0724,-50.20357572115385,-54.816503286361694,16.543583971818677,11.463169896456785
BAC009S0130W0191,0.0,5.5,S0130,-49.3555078125,-48.32965508822737,16.531111679278464,10.390483017743737
BAC009S0247W0347,0.0,5.1491875,S0247,-45.40543082524272,-47.08477415861907,16.372193098259135,5.476040169702031
BAC009S0750W0309,0.0,6.093,S0750,-47.73417936678982,-49.572033064705984,16.345546479361094,8.412231531533244
BAC009S0024W0472,0.0,4.274875,S0024,-45.519549546252925,-46.34645175933838,16.33661008070866,7.221861142331527
BAC009S0514W0359,0.0,5.452875,S0514,-44.15239033830275,-42.070091023164636,16.240116494431618,6.29942415787513
BAC009S0515W0383,0.0,5.4870625,S0515,-48.50938140368852,-50.36501778496636,16.240109194587358,5.27388845610832
BAC009S0914W0166,0.0,9.28,S0914,-44.32286755792026,-46.71410810947418,16.240109194587358,6.7581872573540345
BAC009S0358W0139,0.0,4.82,S0358,-50.32706739496888,-51.15013620127802,16.22135373803944,9.248251551375382
BAC009S0092W0193,0.0,5.9460625,S0092,-46.84756762079832,-49.284989455650596,16.165671055515144,6.713631194046776
BAC009S0658W0318,0.0,9.8190625,S0658,-48.781421047606926,-49.97521470232708,16.108129965218488,6.4392965787395084
BAC009S0011W0397,0.0,6.5029375,S0011,-46.85375600961538,-49.21773759249983,16.09057738552752,11.505298503203857
BAC009S0020W0481,0.0,6.916,S0020,-46.579925713511564,-50.41807556152344,16.03039989430168,10.896109693570615
BAC009S0104W0482,0.0,6.082,S0104,-42.34707159745066,-44.475562039543604,16.00759176329846,11.149135194526167
BAC009S0766W0403,0.0,5.8828125,S0766,-51.64952699829932,-52.38274277088254,15.960197104824678,1.51290642842606
BAC009S0226W0268,0.0,3.4260625,S0226,-47.271814641034986,-47.94480341131037,15.937529620095493,9.989395017824492
BAC009S0236W0421,0.0,6.5969375,S0236,-46.98733723958333,-46.75106006198459,15.933931826902022,6.299158568910876
BAC009S0193W0359,0.0,5.2629375,S0193,-51.50460061192966,-52.60360372634161,15.858016391299765,10.217046740080509
BAC009S0216W0194,0.0,4.0,S0216,-46.3246826171875,-50.497058001431554,15.814709504631168,9.135214444121821
BAC009S0069W0321,0.0,4.813,S0069,-46.7774005977131,-51.25316283282112,15.627758109138812,8.805669617675882
BAC009S0725W0285,0.0,10.1020625,S0725,-46.89170792079208,-50.684011993408205,15.601837855561389,12.71933170178975
BAC009S0741W0313,0.0,6.6229375,S0741,-49.71342168617825,-49.69890999071526,15.601837855561389,10.302958056766608
BAC009S0075W0148,0.0,5.435,S0075,-45.38095272288603,-44.92213098626388,15.564762636501909,5.88081981825232
BAC009S0238W0479,0.0,3.635,S0238,-50.39839993990385,-53.86596393585205,15.455693662266132,8.13979572891579
BAC009S0736W0455,0.0,6.79225,S0736,-48.81219509388807,-45.70284525553385,15.428940388620795,7.104178617590691
BAC009S0143W0205,0.0,3.073,S0143,-46.45056112581433,-47.721061359752305,15.427225085431598,8.692299653989643
